product_id,product_name,category,brand,cost_price,selling_price,supplier_id
451,Defense,Electronics,"Barnes, Rodriguez and Green",63.14,175.92,30
452,Skill,Groceries,"Mendoza, Davis and Jones",89.71,168.73,40
453,Million,Toys,"Shaw, Dalton and Daniels",154.75,126.67,12
454,Cut,Toys,Goodman-Richardson,116.22,93.95,42
455,Where,Electronics,Robinson Group,37.85,134.52,6
456,Bring,Clothing,Porter and Sons,68.41,51.18,49
457,Film,Furniture,Williams Ltd,20.5,29.68,27
458,Fear,Toys,Solis Inc,132.83,30.61,8
459,Class,Clothing,"Vang, Simmons and Miller",103.24,166.35,3
460,Pm,Groceries,Williams-Burnett,37.09,174.45,49
461,Rise,Toys,Mayer-Schaefer,78.11,52.74,5
462,Can,Furniture,Cruz and Sons,118.77,17.28,33
463,Key,Toys,Harris-Myers,46.76,144.85,43
464,Consumer,Furniture,"Simmons, Phillips and Summers",119.23,136.93,38
465,Unit,Groceries,Webster and Sons,189.72,143.24,38
466,Admit,Furniture,Logan-Carroll,97.61,93.8,11
467,Ahead,Electronics,Thompson LLC,187.03,237.26,37
468,Might,Clothing,Lopez PLC,116.39,207.93,49
469,Early,Clothing,"White, Lee and Sanchez",93.47,166.57,6
470,Computer,Furniture,Schmidt LLC,100.81,182.66,4
471,Hard,Furniture,Torres and Sons,110.03,84.78,30
472,Ten,Groceries,"Warner, Johnson and Johnson",188.6,10.37,42
473,Sell,Electronics,Crawford-Gonzalez,90.51,188.59,8
474,Know,Furniture,Singleton Ltd,35.05,239.64,19
475,Security,Electronics,Harvey Inc,71.51,76.15,7
476,Writer,Toys,"Mendez, Carr and Dennis",15.45,169.64,34
477,Study,Toys,"Johnson, Wiley and Stone",28.95,115.89,49
478,Fall,Furniture,Howard-Gross,51.54,69.86,29
479,Whole,Clothing,"Smith, Rogers and Ortiz",91.11,77.05,24
480,Throw,Electronics,George PLC,184.36,122.03,38
481,Last,Groceries,"Burns, Gallegos and Lee",109.64,72.38,30
482,Could,Groceries,"Garcia, Brown and Newman",112.06,219.63,43
483,Center,Clothing,Hamilton-Smith,45.23,111.01,27
484,Significant,Groceries,Spencer-Knox,172.28,123.65,40
485,Economic,Clothing,Thompson-Alvarez,93.96,24.58,39
486,Within,Furniture,"Chen, Maldonado and Mccormick",74.66,120.48,48
487,Term,Electronics,Lewis Inc,26.2,121.71,11
488,My,Furniture,Jefferson-Moore,102.9,30.52,43
489,Light,Toys,Ford Ltd,180.01,196.64,21
490,Condition,Electronics,"Morgan, Juarez and Sanders",56.9,216.6,24
491,Such,Furniture,Reed Group,66.8,10.92,24
492,Rather,Groceries,Newman-Gibson,114.17,242.02,7
493,If,Clothing,Esparza-Morrison,20.1,246.5,48
494,Carry,Toys,"Vaughn, Santos and Holland",70.5,88.72,44
495,Top,Electronics,Thompson Group,64.12,113.43,10
496,Democrat,Electronics,"Moore, Anderson and Ryan",86.85,249.26,31
497,Boy,Electronics,Mcconnell Group,40.28,40.73,5
498,Range,Furniture,Page-Dorsey,147.94,124.32,40
499,Attack,Toys,"Cooper, Rivas and Juarez",89.76,29.81,26
500,Value,Furniture,Kelly Ltd,144.8,171.68,25
